Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
2004,Vincent FANG Kang,方剛,1,1,Vincent,Liberal,1,FC,Wholesale and Retail
2004,WONG Kwok-hing,王國興,1,0,,FTU,1,FC,Labour
2004,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
2004,LI Kwok-ying,李國英,1,0,,DAB,1,GC,New Territories East
2004,Joseph LEE Kok-long,李國麟,1,1,Joseph,Independent,0,FC,Health Services
2004,Daniel LAM Wai-keung,林偉強,1,1,Daniel,Independent,1,FC,Heung Yee Kuk
2004,Jeffrey LAM Kin-fung,林健鋒,1,1,Jeffrey,Liberal,1,FC,Commercial - First
2004,MA Lik,馬力,1,0,,DAB,1,GC,Hong Kong Island
2004,Andrew LEUNG Kwan-yuen,梁君彥,1,1,Andrew,Liberal,1,FC,Industrial - First
2004,Alan LEONG Kah-kit,梁家傑,1,1,Alan,Civic Party,0,GC,Kowloon East
2004,LEUNG Kwok-hung,梁國雄,1,0,,LSD,0,GC,New Territories East
2004,KWOK Ka-ki,郭家麒,1,0,,Independent,0,FC,Medical
2004,Fernando CHEUNG Chiu-hung,張超雄,1,1,Fernando,Civic Party,0,FC,Social Welfare
2004,CHEUNG Hok-ming,張學明,1,0,,DAB,1,GC,New Territories West
2004,WONG Ting-kwong,黃定光,1,0,,DAB,1,FC,Import and Export
2004,Ronny TONG Ka-wah,湯家驊,1,1,Ronny,Civic Party,0,GC,New Territories East
2004,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
2004,Patrick LAU Sau-shing,劉秀成,1,1,Patrick,Breakfast Group,1,FC,"Architectural, Surveying and Planning"
2004,Albert Jinghan CHENG,鄭經翰,1,1,Albert,Independent,0,GC,Kowloon East
2004,KWONG Chi-kin,鄺志堅,1,0,,FTU,1,FC,Labour
2004,Mandy TAM Heung-man,譚香文,2,1,Mandy,Civic Party,0,FC,Accountancy
2004,Anson CHAN,陳方安生,2,1,Anson,Independent,0,GC,Hong Kong Island
2008,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Hong Kong Island
2008,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
2008,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
2008,LEE Cheuk-yan,李卓人,1,0,,Labour,0,GC,New Territories West
2008,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
2008,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
2008,Margaret NG,吳靄儀,2,1,Margaret,Civic Party,0,FC,Legal
2008,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
2008,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
2008,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,GC,Kowloon East
2008,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
2008,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
2008,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
2008,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
2008,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
2008,LAU Wong-fat,劉皇發,1,0,,Economic Synergy,1,FC,Heung Yee Kuk
2008,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
2008,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Democratic,0,GC,New Territories East
2008,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Independent,0,GC,New Territories East
2008,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
2008,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
2008,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,Breakfast Group,1,FC,Real Estate and Construction
2008,LI Fung-ying,李鳳英,2,0,,FLU,1,FC,Labour
2008,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
2008,Frederick FUNG Kin-kee,馮檢基,1,1,Frederick,ADPL,0,GC,Kowloon West
2008,Audrey EU Yuet-mee,余若薇,2,1,Audrey,Civic Party,0,GC,Hong Kong Island
2008,Vincent FANG Kang,方剛,1,1,Vincent,Liberal,1,FC,Wholesale and Retail
2008,WONG Kwok-hing,王國興,1,0,,FTU,1,GC,New Territories West
2008,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
2008,Joseph LEE Kok-long,李國麟,1,1,Joseph,Independent,0,FC,Health Services
2008,Jeffrey LAM Kin-fung,林健鋒,1,1,Jeffrey,Economic Synergy,1,FC,Commercial - First
2008,Andrew LEUNG Kwan-yuen,梁君彥,1,1,Andrew,Economic Synergy,1,FC,Industrial - First
2008,CHEUNG Hok-ming,張學明,1,0,,DAB,1,GC,New Territories West
2008,WONG Ting-kwong,黃定光,1,0,,DAB,1,FC,Import and Export
2008,Ronny TONG Ka-wah,湯家驊,1,1,Ronny,Civic Party,0,GC,New Territories East
2008,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
2008,Patrick LAU Sau-shing,劉秀成,1,1,Patrick,Breakfast Group,1,FC,"Architectural, Surveying and Planning"
2008,KAM Nai-wai,甘乃威,1,0,,Democratic,0,GC,Hong Kong Island
2008,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Labour,0,GC,Hong Kong Island
2008,Starry LEE Wai-king,李慧琼,2,1,Starry,DAB,1,GC,Kowloon West
2008,LAM Tai-fai,林大輝,1,0,,Independent,1,FC,Industrial - Second
2008,CHAN Hak-kan,陳克勤,1,0,,DAB,1,GC,New Territories East
2008,Paul CHAN Mo-po,陳茂波,1,1,Paul,Independent,1,FC,Accountancy
2008,CHAN Kin-por,陳健波,1,0,,Independent,1,FC,Insurance
2008,Priscilla LEUNG Mei-fun,梁美芬,2,1,Priscilla,Breakfast Group,1,GC,Kowloon West
2008,LEUNG Ka-lau,梁家騮,1,0,,Independent,1,FC,Medical
2008,CHEUNG Kwok-che,張國柱,1,0,,Labour,0,FC,Social Welfare
2008,WONG Sing-chi,黃成智,1,0,,Democratic,0,GC,New Territories East
2008,WONG Kwok-kin,黃國健,1,0,,FTU,1,GC,Kowloon East
2008,IP Wai-ming,葉偉明,1,0,,FTU,1,FC,Labour
2008,IP Kwok-him,葉國謙,1,0,,DAB,1,FC,District Council (First)
2008,Regina IP LAU Suk-yee,葉劉淑儀,2,1,Regina,New People's Party,1,GC,Hong Kong Island
2008,PAN Pey-chyou,潘佩璆,1,0,,FTU,1,FC,Labour
2008,Paul TSE Wai-chun,謝偉俊,1,1,Paul,Independent,1,FC,Tourism
2008,Samson TAM Wai-ho,譚偉豪,1,1,Samdon,Independent,1,FC,Information Technology
2008,Alan LEONG Kah-kit,梁家傑,1,1,Alan,Civic Party,0,GC,Kowloon East
2008,LEUNG Kwok-hung,梁國雄,1,0,,LSD,0,GC,New Territories East
2008,Tanya CHAN,陳淑莊,2,1,Tanya,Civic Party,0,GC,Hong Kong Island
2008,Albert CHAN Wai-yip,陳偉業,1,1,Albert,People Power,0,GC,New Territories West
2008,WONG Yuk-man,黃毓民,1,0,,People Power,0,GC,Kowloon West
2012,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Hong Kong Island
2012,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,District Council (Second)
2012,LEE Cheuk-yan,李卓人,1,0,,Labour,0,GC,New Territories West
2012,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,District Council (Second)
2012,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,GC,Kowloon East
2012,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
2012,LAU Wong-fat,劉皇發,1,0,,BPA,1,FC,Heung Yee Kuk
2012,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Democratic,0,GC,New Territories East
2012,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
2012,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,BPA,1,FC,Real Estate and Construction
2012,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
2012,Frederick FUNG Kin-kee,馮檢基,1,1,Frederick,ADPL,0,GC,District Council (Second)
2012,Vincent FANG Kang,方剛,1,1,Vincent,Liberal,1,FC,Wholesale and Retail
2012,WONG Kwok-hing,王國興,1,0,,FTU,1,GC,Hong Kong Island
2012,Joseph LEE Kok-long,李國麟,1,1,Joseph,Independent,0,FC,Health Services
2012,Jeffrey LAM Kin-fung,林健鋒,1,1,Jeffrey,BPA,1,FC,Commercial - First
2012,Andrew LEUNG Kwan-yuen,梁君彥,1,1,Andrew,BPA,1,FC,Industrial - First
2012,WONG Ting-kwong,黃定光,1,0,,DAB,1,FC,Import and Export
2012,Ronny TONG Ka-wah,湯家驊,1,1,Ronny,Civic Party,0,GC,New Territories East
2012,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Labour,0,GC,Hong Kong Island
2012,Starry LEE Wai-king,李慧琼,2,1,Starry,DAB,1,GC,District Council (Second)
2012,LAM Tai-fai,林大輝,1,0,,Independent,1,FC,Industrial - Second
2012,CHAN Hak-kan,陳克勤,1,0,,DAB,1,GC,New Territories East
2012,CHAN Kin-por,陳健波,1,0,,Independent,1,FC,Insurance
2012,Priscilla LEUNG Mei-fun,梁美芬,2,1,Priscilla,BPA,1,GC,Kowloon West
2012,LEUNG Ka-lau,梁家騮,1,0,,Independent,1,FC,Medical
