Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
2016,Ray CHAN Chi-chuen,陳志全,1,1,Ray,People Power,0,GC,New Territories East
2016,Ben CHAN Han-pan,陳恒鑌,1,1,Ben,DAB,1,GC,New Territories West
2016,LEUNG Che-cheung,梁志祥,1,0,,DAB,1,GC,New Territories West
2016,Kenneth LEUNG,梁繼昌,1,1,Kenneth,The Professional Commons,0,FC,Accountancy
2016,Alice MAK Mei-kuen,麥美娟,2,1,Alice,FTU,1,GC,New Territories West
2016,KWOK Ka-ki,郭家麒,1,0,,Civic Party,0,GC,New Territories West
2016,KWOK Wai-keung,郭偉强,1,0,,FTU,1,GC,Hong Kong Island
2016,Dennis KWOK,郭榮鏗,1,1,Dennis,Civic Party,0,FC,Legal
2016,Christopher CHEUNG Wah-fung,張華峰,1,1,Christopher,BPA,1,FC,Financial Services
2016,Fernando CHEUNG Chiu-hung,張超雄,1,1,Fernando,Labour,0,GC,New Territories East
2016,Helena WONG Pik-wan,黃碧雲,2,1,Helena,Democratic,0,GC,Kowloon West
2016,IP Kin-yuen,葉建源,1,0,,HKPTU,0,FC,Education
2016,Elizabeth QUAT,葛珮帆,2,1,Elizabeth,DAB,1,GC,New Territories East
2016,Martin LIAO Cheung-kong,廖長江,1,1,Martin,Breakfast Group,1,FC,Commercial - Second
2016,POON Siu-ping,潘兆平,1,0,,FLU,1,FC,Labour
2016,Ann CHIANG Lai-wan,蔣麗芸,2,1,Ann,DAB,1,GC,Kowloon West
2016,LO Wai-kwok,盧偉國,1,0,,BPA,1,FC,Engineering
2016,Felix CHUNG Kwok-pan,鍾國斌,1,1,Felix,Liberal,1,FC,Textiles and Garment
2016,Alvin YEUNG Ngok-kiu,楊岳橋,1,1,Alvin,Civic Party,0,GC,New Territories East
2016,Andrew WAN Siu-kin,尹兆堅,1,1,Andrew,Democratic,0,GC,New Territories West
2016,Eddie CHU Hoi-dick,朱凱廸,1,1,Eddie,Independent,0,GC,New Territories West
2016,Jimmy NG Wing-ka,吳永嘉,1,1,Jimmy,BPA,1,FC,Industrial - Second
2016,Junius HO Kwan-yiu,何君堯,1,1,Junius,Independent,1,GC,New Territories West
2016,HO Kai-ming,何啟明,1,0,,FTU,1,FC,Labour
2016,LAM Cheuk-ting,林卓廷,1,0,,Democratic,0,GC,New Territories East
2016,Holden CHOW Ho-ding,周浩鼎,1,1,Holden,DAB,1,GC,District Council (Second)
2016,SHIU Ka-fai,邵家輝,1,0,,Liberal,1,FC,Wholesale and Retail
2016,SHIU Ka-chun,邵家臻,1,0,,Independent,0,FC,Social Welfare
2016,Wilson OR Chong-shing,柯創盛,1,1,Wilson,DAB,1,GC,Kowloon East
2016,Eunice YUNG Hoi-yan,容海恩,2,1,Eunice,New People's Party,1,GC,New Territories East
2016,Pierre CHAN,陳沛然,1,1,Pierre,Independent,0,FC,Medical
2016,Ronick CHAN Chun-ying,陳振英,1,1,Ronick,Independent,1,FC,Finance
2016,Tanya CHAN,陳淑莊,2,1,Tanya,Civic Party,0,GC,Hong Kong Island
2016,Horace CHEUNG Kwok-kwan,張國鈞,1,1,Horace,DAB,1,GC,Hong Kong Island
2016,HUI Chi-fung,許智峯,1,0,,Democratic,0,GC,Hong Kong Island
2016,Michael LUK Chung-hung,陸頌雄,1,1,Michael,FTU,1,FC,Labour
2016,Edward LAU Kwok-fan,劉國勳,1,1,Edward,DAB,1,FC,District Council (First)
2016,Kenneth LAU Ip-keung,劉業強,1,1,Kenneth,BPA,1,FC,Heung Yee Kuk
2016,CHENG Chung-tai,鄭松泰,1,0,,Civic Passion,0,GC,New Territories West
2016,Roy KWONG Chun-yu,鄺俊宇,1,1,Roy,Democratic,0,GC,District Council (Second)
2016,Jeremy TAM Man-ho,譚文豪,1,1,Jeremy,Civic Party,0,GC,Kowloon West
2016,Gary FAN Kwok-wai,范國威,1,1,Gary,Neo Democrats,0,GC,New Territories East
2016,AU Nok-hin,區諾軒,1,0,,Independent,0,GC,Hong Kong Island
2016,Vincent CHENG Wing-shun,鄭泳舜,1,1,Vincent,DAB,1,GC,Kowloon West
2016,Tony TSE Wai-chuen,謝偉銓,1,1,Tony,Independent,1,FC,"Architectural, Surveying and Planning"
2016,Yan CHAN Hoi-yan,陳凱欣,2,1,Yan,DAB,1,GC,Kowloon West
2016,Sixtus LEUNG Chung-hang,梁頌恆,1,1,Sixtus,Youngspiration,0,GC,New Territories East
2016,YAU Wai-ching,游蕙禎,2,0,,Youngspiration,0,GC,Kowloon West
2016,LEUNG Kwok-hung,梁國雄,1,0,,LSD,0,GC,New Territories East
2016,Nathan LAW Kwun-chung,羅冠聰,1,1,Nathan,Demosistō,0,GC,Hong Kong Island
2016,Edward YIU Chung-yim,姚松炎,1,1,Edward,Independent,0,FC,"Architectural, Surveying and Planning"
2016,LAU Siu-lai,劉小麗,2,0,,Democracy Groundwork,0,GC,Kowloon West
